"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"3395627";"yogesh10446";"23";"2";"21";"19";"4";"21";"2";"0";"null";"null";"0.08695652173913043";"0.9130434782608695";"0.8260869565217391";"0.17391304347826086";"0.9130434782608695";"0.08695652173913043";"0.0";"8"
"4726865";"Outshine Adventure Pvt Ltd";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"3215407";"Sandeep Raj Shakya";"6";"0";"6";"0";"6";"6";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"172061";"CloCkWeRX";"4827";"3282";"1545";"3035";"1792";"544";"4283";"1873";"null";"null";"0.6799254195152269";"0.32007458048477316";"0.6287549202403149";"0.3712450797596851";"0.11269939921276155";"0.8873006007872385";"0.3880256888336441";"226"
"2883635";"Laura Gerhardt";"148";"0";"148";"147";"1";"144";"4";"4";"null";"null";"0.0";"1.0";"0.9932432432432432";"0.006756756756756757";"0.972972972972973";"0.02702702702702703";"0.02702702702702703";"3"
"667690";"osmapaw";"2985";"0";"2985";"0";"2985";"746";"2239";"273";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.24991624790619765";"0.7500837520938023";"0.0914572864321608";"14"
"1949759";"Bkyshr";"3";"2";"1";"2";"1";"0";"3";"0";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"0.0";"3"
"1290299";"MeghaShrestha";"2564";"1176";"1388";"2366";"198";"1618";"946";"352";"null";"null";"0.45865834633385333";"0.5413416536661466";"0.9227769110764431";"0.07722308892355695";"0.6310452418096724";"0.36895475819032764";"0.1372854914196568";"61"
"520239";"Gutsycat";"18";"0";"18";"17";"1";"0";"18";"0";"null";"null";"0.0";"1.0";"0.9444444444444444";"0.05555555555555555";"0.0";"1.0";"0.0";"2"
"4612203";"Bipu Rajbhandari";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"4558952";"Ipsita Karki";"4";"0";"4";"0";"4";"4";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"4"
"1781812";"colllin";"4";"0";"4";"3";"1";"0";"4";"0";"null";"null";"0.0";"1.0";"0.75";"0.25";"0.0";"1.0";"0.0";"1"
"2863130";"honest10197";"562";"277";"285";"561";"1";"509";"53";"52";"null";"null";"0.4928825622775801";"0.5071174377224199";"0.998220640569395";"0.0017793594306049821";"0.905693950177936";"0.09430604982206406";"0.09252669039145907";"7"
"4911230";"kushal poudyal";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2830366";"angsherpa";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2244628";"sayamism";"4";"3";"1";"3";"1";"0";"4";"0";"null";"null";"0.75";"0.25";"0.75";"0.25";"0.0";"1.0";"0.0";"1"
"2879508";"pdritalia";"18";"0";"18";"17";"1";"18";"0";"0";"null";"null";"0.0";"1.0";"0.9444444444444444";"0.05555555555555555";"1.0";"0.0";"0.0";"1"
"2859115";"aaumali";"22";"0";"22";"0";"22";"8";"14";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.36363636363636365";"0.6363636363636364";"0.0";"2"
"4923400";"Maharjan Kadam";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"3952756";"Prabesh Maharjan";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2998371";"SMAPPINGPVT";"6969";"6297";"672";"3966";"3003";"1654";"5315";"5298";"null";"null";"0.9035729659922515";"0.0964270340077486";"0.5690916917778734";"0.43090830822212656";"0.23733677715597648";"0.7626632228440235";"0.7602238484718037";"84"
"2412660";"Aman Chetri";"4";"0";"4";"3";"1";"4";"0";"0";"null";"null";"0.0";"1.0";"0.75";"0.25";"1.0";"0.0";"0.0";"1"
"2891901";"shellymoore22";"230";"229";"1";"229";"1";"225";"5";"0";"null";"null";"0.9956521739130435";"0.004347826086956522";"0.9956521739130435";"0.004347826086956522";"0.9782608695652174";"0.021739130434782608";"0.0";"2"
"2875512";"trentbarbee";"79";"0";"79";"78";"1";"79";"0";"0";"null";"null";"0.0";"1.0";"0.9873417721518988";"0.012658227848101266";"1.0";"0.0";"0.0";"1"
"3752036";"stouille84";"3";"1";"2";"2";"1";"3";"0";"0";"null";"null";"0.3333333333333333";"0.6666666666666666";"0.6666666666666666";"0.3333333333333333";"1.0";"0.0";"0.0";"3"
"499800";"freeExec";"639";"2";"637";"638";"1";"521";"118";"3";"null";"null";"0.003129890453834116";"0.9968701095461658";"0.9984350547730829";"0.001564945226917058";"0.8153364632237872";"0.18466353677621283";"0.004694835680751174";"2"
"4014178";"Kushal Shrestha";"4";"3";"1";"2";"2";"4";"0";"0";"null";"null";"0.75";"0.25";"0.5";"0.5";"1.0";"0.0";"0.0";"4"
"2879560";"orwh";"573";"0";"573";"572";"1";"570";"3";"0";"null";"null";"0.0";"1.0";"0.9982547993019197";"0.0017452006980802793";"0.9947643979057592";"0.005235602094240838";"0.0";"4"
"5005352";"Raj Nandan Yadav";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2863175";"white87";"26";"25";"1";"25";"1";"26";"0";"0";"null";"null";"0.9615384615384616";"0.038461538461538464";"0.9615384615384616";"0.038461538461538464";"1.0";"0.0";"0.0";"2"
"1867890";"Samip";"536";"409";"127";"445";"91";"305";"231";"43";"null";"null";"0.7630597014925373";"0.23694029850746268";"0.8302238805970149";"0.16977611940298507";"0.5690298507462687";"0.43097014925373134";"0.08022388059701492";"22"
"2891868";"kamemar";"88";"87";"1";"87";"1";"63";"25";"25";"null";"null";"0.9886363636363636";"0.011363636363636364";"0.9886363636363636";"0.011363636363636364";"0.7159090909090909";"0.2840909090909091";"0.2840909090909091";"1"
"4939833";"Govind Pandey";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2429008";"CFearn";"202";"0";"202";"0";"202";"196";"6";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.9702970297029703";"0.0297029702970297";"0.0";"12"
"1716320";"alesarrett";"92";"0";"92";"91";"1";"90";"2";"0";"null";"null";"0.0";"1.0";"0.9891304347826086";"0.010869565217391304";"0.9782608695652174";"0.021739130434782608";"0.0";"3"
"4694076";"Kishor Bogati";"2";"1";"1";"1";"1";"1";"1";"0";"null";"null";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.0";"2"
"270456";"pyrog";"2";"0";"2";"1";"1";"0";"2";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.0";"1.0";"0.0";"2"
"327803";"bekreyev";"66";"65";"1";"65";"1";"48";"18";"0";"null";"null";"0.9848484848484849";"0.015151515151515152";"0.9848484848484849";"0.015151515151515152";"0.7272727272727273";"0.2727272727272727";"0.0";"2"
"4169917";"Vikram Karki";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2875560";"ly_tak";"47";"0";"47";"46";"1";"46";"1";"0";"null";"null";"0.0";"1.0";"0.9787234042553191";"0.02127659574468085";"0.9787234042553191";"0.02127659574468085";"0.0";"2"
"1126548";"maharjanshirish";"74";"73";"1";"0";"74";"68";"6";"2";"null";"null";"0.9864864864864865";"0.013513513513513514";"0.0";"1.0";"0.918918918918919";"0.08108108108108109";"0.02702702702702703";"22"
"680067";"amritkarma";"2005";"1043";"962";"1516";"489";"310";"1695";"1334";"null";"null";"0.5201995012468827";"0.4798004987531172";"0.7561097256857855";"0.24389027431421445";"0.1546134663341646";"0.8453865336658354";"0.6653366583541147";"85"
"4288715";"Binaya Shrestha";"19";"8";"11";"18";"1";"0";"19";"1";"null";"null";"0.42105263157894735";"0.5789473684210527";"0.9473684210526315";"0.05263157894736842";"0.0";"1.0";"0.05263157894736842";"4"
"4145330";"Dylan Magnani";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"4477130";"Asim Gautam";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2871483";"Chuan Hao Chen";"564";"0";"564";"563";"1";"551";"13";"4";"null";"null";"0.0";"1.0";"0.99822695035461";"0.0017730496453900709";"0.9769503546099291";"0.02304964539007092";"0.0070921985815602835";"5"
"8339";"mtmail";"4";"0";"4";"0";"4";"0";"4";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"3346599";"Danielle_Barlow";"896";"0";"896";"895";"1";"805";"91";"57";"null";"null";"0.0";"1.0";"0.9988839285714286";"0.0011160714285714285";"0.8984375";"0.1015625";"0.06361607142857142";"6"
"4108458";"Jorge Jardim";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2859197";"perrier1978";"308";"0";"308";"0";"308";"283";"25";"11";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.9188311688311688";"0.08116883116883117";"0.03571428571428571";"4"
"2887866";"Ana David";"41";"0";"41";"0";"41";"41";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"3"
"3002551";"aakashsigdel";"8";"7";"1";"1";"7";"4";"4";"0";"null";"null";"0.875";"0.125";"0.125";"0.875";"0.5";"0.5";"0.0";"4"
"2875529";"geo_nic";"98";"0";"98";"97";"1";"90";"8";"4";"null";"null";"0.0";"1.0";"0.9897959183673469";"0.01020408163265306";"0.9183673469387755";"0.08163265306122448";"0.04081632653061224";"7"
"139424";"pigsonthewing";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2863247";"Willy Duarte";"21";"0";"21";"20";"1";"21";"0";"0";"null";"null";"0.0";"1.0";"0.9523809523809523";"0.047619047619047616";"1.0";"0.0";"0.0";"1"
"3346586";"gsjulien";"746";"0";"746";"745";"1";"407";"339";"33";"null";"null";"0.0";"1.0";"0.9986595174262735";"0.0013404825737265416";"0.5455764075067024";"0.4544235924932976";"0.04423592493297587";"7"
"94381";"tadanet3";"339";"0";"339";"0";"339";"339";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"2"
"2875547";"ben4343";"169";"0";"169";"168";"1";"169";"0";"0";"null";"null";"0.0";"1.0";"0.9940828402366864";"0.005917159763313609";"1.0";"0.0";"0.0";"4"
"2781339";"Pierre Oftinger";"5";"0";"5";"4";"1";"4";"1";"0";"null";"null";"0.0";"1.0";"0.8";"0.2";"0.8";"0.2";"0.0";"1"
"3715211";"birenra";"48";"47";"1";"47";"1";"43";"5";"3";"null";"null";"0.9791666666666666";"0.020833333333333332";"0.9791666666666666";"0.020833333333333332";"0.8958333333333334";"0.10416666666666667";"0.0625";"11"
"4899068";"Brabim";"9";"1";"8";"3";"6";"0";"9";"0";"null";"null";"0.1111111111111111";"0.8888888888888888";"0.3333333333333333";"0.6666666666666666";"0.0";"1.0";"0.0";"3"
"2879633";"Eager Mapper";"11";"0";"11";"10";"1";"11";"0";"0";"null";"null";"0.0";"1.0";"0.9090909090909091";"0.09090909090909091";"1.0";"0.0";"0.0";"2"
"1179861";"Monica358msd";"8";"7";"1";"7";"1";"8";"0";"0";"null";"null";"0.875";"0.125";"0.875";"0.125";"1.0";"0.0";"0.0";"2"
"1949914";"Christoph Gysin";"6";"5";"1";"5";"1";"6";"0";"0";"null";"null";"0.8333333333333334";"0.16666666666666666";"0.8333333333333334";"0.16666666666666666";"1.0";"0.0";"0.0";"1"
"3035366";"vinodtelematics";"6";"5";"1";"0";"6";"6";"0";"0";"null";"null";"0.8333333333333334";"0.16666666666666666";"0.0";"1.0";"1.0";"0.0";"0.0";"2"
"4993157";"Borninsane13";"3";"0";"3";"2";"1";"2";"1";"0";"null";"null";"0.0";"1.0";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"0.0";"1"
"155855";"NickBroon";"30";"0";"30";"29";"1";"26";"4";"0";"null";"null";"0.0";"1.0";"0.9666666666666667";"0.03333333333333333";"0.8666666666666667";"0.13333333333333333";"0.0";"1"
"16591";"neuhausr";"2";"0";"2";"1";"1";"0";"2";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.0";"1.0";"0.0";"2"
"1818836";"raulecay";"388";"0";"388";"387";"1";"388";"0";"0";"null";"null";"0.0";"1.0";"0.9974226804123711";"0.002577319587628866";"1.0";"0.0";"0.0";"5"
"2851067";"Capri853";"80";"79";"1";"79";"1";"80";"0";"0";"null";"null";"0.9875";"0.0125";"0.9875";"0.0125";"1.0";"0.0";"0.0";"12"
"16595";"Corriere";"276";"275";"1";"275";"1";"190";"86";"2";"null";"null";"0.9963768115942029";"0.0036231884057971015";"0.9963768115942029";"0.0036231884057971015";"0.6884057971014492";"0.3115942028985507";"0.007246376811594203";"4"
"3793120";"NischalAwal";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2883831";"FireMapMkr";"25";"0";"25";"0";"25";"25";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"2"
"1286351";"Bijesh";"16";"15";"1";"15";"1";"0";"16";"0";"null";"null";"0.9375";"0.0625";"0.9375";"0.0625";"0.0";"1.0";"0.0";"1"
"4817045";"Guru Dev";"2";"1";"1";"1";"1";"2";"0";"0";"null";"null";"0.5";"0.5";"0.5";"0.5";"1.0";"0.0";"0.0";"2"
"3866843";"Basu Adhikari";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2273475";"kdgis";"16";"0";"16";"15";"1";"15";"1";"0";"null";"null";"0.0";"1.0";"0.9375";"0.0625";"0.9375";"0.0625";"0.0";"3"
"2273472";"Aadeethakuri";"20";"0";"20";"19";"1";"20";"0";"0";"null";"null";"0.0";"1.0";"0.95";"0.05";"1.0";"0.0";"0.0";"1"
"4731050";"worldtravellerHB";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2273478";"Aman Maharjan";"47";"46";"1";"0";"47";"47";"0";"0";"null";"null";"0.9787234042553191";"0.02127659574468085";"0.0";"1.0";"1.0";"0.0";"0.0";"6"
"2883784";"Joe Moffat";"41";"0";"41";"34";"7";"41";"0";"0";"null";"null";"0.0";"1.0";"0.8292682926829268";"0.17073170731707318";"1.0";"0.0";"0.0";"9"
"4628643";"Raveen Shrestha";"2";"1";"1";"0";"2";"1";"1";"0";"null";"null";"0.5";"0.5";"0.0";"1.0";"0.5";"0.5";"0.0";"1"
"1237243";"asjbrana";"52";"51";"1";"32";"20";"24";"28";"20";"null";"null";"0.9807692307692307";"0.019230769230769232";"0.6153846153846154";"0.38461538461538464";"0.46153846153846156";"0.5384615384615384";"0.38461538461538464";"8"
"2273483";"Apar";"37";"1";"36";"35";"2";"37";"0";"0";"null";"null";"0.02702702702702703";"0.972972972972973";"0.9459459459459459";"0.05405405405405406";"1.0";"0.0";"0.0";"8"
"2273481";"Kristan Shrestha";"35";"34";"1";"0";"35";"11";"24";"3";"null";"null";"0.9714285714285714";"0.02857142857142857";"0.0";"1.0";"0.3142857142857143";"0.6857142857142857";"0.08571428571428572";"4"
"4223150";"gupta_pawan";"83";"32";"51";"82";"1";"71";"12";"0";"null";"null";"0.3855421686746988";"0.6144578313253012";"0.9879518072289156";"0.012048192771084338";"0.8554216867469879";"0.14457831325301204";"0.0";"19"
"2863301";"CesarCortes";"12";"0";"12";"11";"1";"12";"0";"0";"null";"null";"0.0";"1.0";"0.9166666666666666";"0.08333333333333333";"1.0";"0.0";"0.0";"1"
"2273491";"prava";"13";"12";"1";"12";"1";"13";"0";"0";"null";"null";"0.9230769230769231";"0.07692307692307693";"0.9230769230769231";"0.07692307692307693";"1.0";"0.0";"0.0";"2"
"5009593";"SangamThapa";"19";"0";"19";"18";"1";"17";"2";"1";"null";"null";"0.0";"1.0";"0.9473684210526315";"0.05263157894736842";"0.8947368421052632";"0.10526315789473684";"0.05263157894736842";"5"
"2871518";"lizziebennett";"4";"0";"4";"3";"1";"4";"0";"0";"null";"null";"0.0";"1.0";"0.75";"0.25";"1.0";"0.0";"0.0";"1"
"4202682";"Pratik Ghimire";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"4223165";"Sunil Kumar Shrestha";"79";"25";"54";"53";"26";"53";"26";"8";"null";"null";"0.31645569620253167";"0.6835443037974683";"0.6708860759493671";"0.3291139240506329";"0.6708860759493671";"0.3291139240506329";"0.10126582278481013";"31"
"8445";"shoragan";"4";"3";"1";"3";"1";"4";"0";"0";"null";"null";"0.75";"0.25";"0.75";"0.25";"1.0";"0.0";"0.0";"1"
"1597669";"mmalgouveia";"44";"0";"44";"43";"1";"44";"0";"0";"null";"null";"0.0";"1.0";"0.9772727272727273";"0.022727272727272728";"1.0";"0.0";"0.0";"5"
"2896083";"DITPiranha";"67";"0";"67";"66";"1";"67";"0";"0";"null";"null";"0.0";"1.0";"0.9850746268656716";"0.014925373134328358";"1.0";"0.0";"0.0";"1"
"4092220";"Rick Weimar";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2613540";"MEDS";"141";"140";"1";"140";"1";"141";"0";"0";"null";"null";"0.9929078014184397";"0.0070921985815602835";"0.9929078014184397";"0.0070921985815602835";"1.0";"0.0";"0.0";"1"
"1814808";"BNaito";"18";"0";"18";"0";"18";"18";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"4694337";"Lissandro Silva";"3";"2";"1";"1";"2";"3";"0";"0";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.3333333333333333";"0.6666666666666666";"1.0";"0.0";"0.0";"3"
"3559729";"kpp";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"4841799";"Anup Neupane";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"5034332";"Hero Ram";"4";"0";"4";"3";"1";"4";"0";"0";"null";"null";"0.0";"1.0";"0.75";"0.25";"1.0";"0.0";"0.0";"1"
"2879802";"Suku";"2";"0";"2";"1";"1";"1";"1";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.5";"0.5";"0.0";"1"
"4190510";"Bipin Shakya1";"2";"0";"2";"1";"1";"1";"1";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.5";"0.5";"0.0";"2"
"454932";"Cyrille37";"79";"77";"2";"77";"2";"71";"8";"3";"null";"null";"0.9746835443037974";"0.02531645569620253";"0.9746835443037974";"0.02531645569620253";"0.8987341772151899";"0.10126582278481013";"0.0379746835443038";"5"
"766233";"Kretzer";"340";"339";"1";"339";"1";"289";"51";"9";"null";"null";"0.9970588235294118";"0.0029411764705882353";"0.9970588235294118";"0.0029411764705882353";"0.85";"0.15";"0.026470588235294117";"5"
"1351937";"Subarna Maharjan";"12";"11";"1";"11";"1";"9";"3";"1";"null";"null";"0.9166666666666666";"0.08333333333333333";"0.9166666666666666";"0.08333333333333333";"0.75";"0.25";"0.08333333333333333";"6"
"2871613";"melina martinez";"371";"0";"371";"370";"1";"371";"0";"0";"null";"null";"0.0";"1.0";"0.9973045822102425";"0.0026954177897574125";"1.0";"0.0";"0.0";"3"
"1806604";"TrailRunning";"20";"0";"20";"19";"1";"0";"20";"0";"null";"null";"0.0";"1.0";"0.95";"0.05";"0.0";"1.0";"0.0";"1"
"1700096";"GautamPratik";"2725";"1570";"1155";"1628";"1097";"828";"1897";"1042";"null";"null";"0.5761467889908257";"0.42385321100917434";"0.5974311926605504";"0.40256880733944955";"0.3038532110091743";"0.6961467889908257";"0.38238532110091744";"245"
"4817232";"Jiwan Ilameli";"3";"1";"2";"1";"2";"2";"1";"0";"null";"null";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.6666666666666666";"0.3333333333333333";"0.0";"3"
"2875698";"rlaurentinus";"138";"80";"58";"0";"138";"134";"4";"0";"null";"null";"0.5797101449275363";"0.42028985507246375";"0.0";"1.0";"0.9710144927536232";"0.028985507246376812";"0.0";"2"
"1974532";"Stefano frittelli";"100";"99";"1";"99";"1";"92";"8";"0";"null";"null";"0.99";"0.01";"0.99";"0.01";"0.92";"0.08";"0.0";"21"
"413978";"Rbanick";"448";"275";"173";"281";"167";"390";"58";"5";"null";"null";"0.6138392857142857";"0.3861607142857143";"0.6272321428571429";"0.37276785714285715";"0.8705357142857143";"0.12946428571428573";"0.011160714285714286";"26"
"3977504";"2tug4bug";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2867508";"kansakar";"14";"0";"14";"13";"1";"11";"3";"0";"null";"null";"0.0";"1.0";"0.9285714285714286";"0.07142857142857142";"0.7857142857142857";"0.21428571428571427";"0.0";"3"
"155936";"palimpadum";"115";"114";"1";"0";"115";"41";"74";"11";"null";"null";"0.991304347826087";"0.008695652173913044";"0.0";"1.0";"0.3565217391304348";"0.6434782608695652";"0.09565217391304348";"2"
"2216201";"alexz3";"2";"0";"2";"0";"2";"0";"2";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2875649";"himalayancode";"10";"0";"10";"9";"1";"10";"0";"0";"null";"null";"0.0";"1.0";"0.9";"0.1";"1.0";"0.0";"0.0";"2"
"4747622";"Bimal Gurung";"3";"2";"1";"2";"1";"3";"0";"0";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"1.0";"0.0";"0.0";"1"
"2875653";"jordi versteege";"58";"0";"58";"57";"1";"58";"0";"0";"null";"null";"0.0";"1.0";"0.9827586206896551";"0.017241379310344827";"1.0";"0.0";"0.0";"2"
"516407";"BF89";"381";"0";"381";"380";"1";"349";"32";"13";"null";"null";"0.0";"1.0";"0.9973753280839895";"0.0026246719160104987";"0.916010498687664";"0.08398950131233596";"0.03412073490813648";"14"
"2875674";"Jasper C";"156";"0";"156";"155";"1";"156";"0";"0";"null";"null";"0.0";"1.0";"0.9935897435897436";"0.00641025641025641";"1.0";"0.0";"0.0";"26"
"2920734";"yanyu088";"16";"15";"1";"15";"1";"0";"16";"0";"null";"null";"0.9375";"0.0625";"0.9375";"0.0625";"0.0";"1.0";"0.0";"1"
"2863385";"katuddy";"12";"0";"12";"11";"1";"12";"0";"0";"null";"null";"0.0";"1.0";"0.9166666666666666";"0.08333333333333333";"1.0";"0.0";"0.0";"1"
"3899656";"Battery Low";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"57652";"richardbrinkman";"270";"102";"168";"269";"1";"116";"154";"50";"null";"null";"0.37777777777777777";"0.6222222222222222";"0.9962962962962963";"0.003703703703703704";"0.42962962962962964";"0.5703703703703704";"0.18518518518518517";"3"
"4350325";"SudeepWV";"41";"40";"1";"40";"1";"8";"33";"0";"null";"null";"0.975609756097561";"0.024390243902439025";"0.975609756097561";"0.024390243902439025";"0.1951219512195122";"0.8048780487804879";"0.0";"2"
"4116745";"Ashutosh Shrestha";"5";"1";"4";"3";"2";"4";"1";"0";"null";"null";"0.2";"0.8";"0.6";"0.4";"0.8";"0.2";"0.0";"5"
"1454383";"Nizil";"73";"0";"73";"0";"73";"69";"4";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.9452054794520548";"0.0547945205479452";"0.0";"3"
